"event_id","name","type","description","datetime","venue","tags","prerequisites","firstname","lastname","user_id","email","username"
"7feb2156-a8e2-11e6-8597-f9ef43490d96","The Last Five Years","type3","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-02-14,"25hours Hotel","{ 'weinverkostung' }","{ ‘Haarfarbe’ : ‘bunt’ }","Oskar","Walter","d208d398-a4f7-11e6-91a5-1fc490c5cf69","oskar.walter@apple.com","oskarwalter40"
"7feb2157-a8e2-11e6-8597-f9ef43490d96","Schikaneder","type3","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-12-30,"Szene Wien","{ 'dance' }","{ ‘Preis’ : ‘500€’ }","Michael","Werner","d208d399-a4f7-11e6-91a5-1fc490c5cf69","michael.werner@company.at","michaelwerner102"
"7feb2158-a8e2-11e6-8597-f9ef43490d96","Hoffmanns Erzählungen","public","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Ut sit amet dui. Ut tempus interdum lacus.",2017-11-09,"MQ","{ 'dance' }","{ ‘Preis’ : ‘500€’ }","Daniel","Scholz","d208d39a-a4f7-11e6-91a5-1fc490c5cf69","daniel.scholz@example.at","danielscholz142"
"7feb2159-a8e2-11e6-8597-f9ef43490d96","Architektur Zeitreisen","public","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2017-03-19,"Melia Vienna","{ 'museum' }","{ ‘Dress Code’ : ‘Semi-Formal’ }","Michael","Wolf","d208d39b-a4f7-11e6-91a5-1fc490c5cf69","michael.wolf@aon.at","michaelwolf168"
"7feb215a-a8e2-11e6-8597-f9ef43490d96","Cosmopolitan","private","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-01-05,"Palais Pallavicini","{ 'gettogether' }","{ ‘Preis’ : ‘50€’ }","Christoph","Meier","d208d39c-a4f7-11e6-91a5-1fc490c5cf69","christoph.meier@haralson.at","christophmeier85"
"7feb215b-a8e2-11e6-8597-f9ef43490d96","Turbo","private","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-09-28,"InterContinental Vienna","{ 'food' }","{ ‘Essen’ : ‘true’ }","Alena","Wagner","d208d39d-a4f7-11e6-91a5-1fc490c5cf69","alena.wagner@live.at","alenawagner63"
"7feb215c-a8e2-11e6-8597-f9ef43490d96","Business Frühstück","public","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-11-27,"Pony Club","{ 'live music' }","{ ‘Games’ : ‘true’ }","Lynn","Huber","d208d39e-a4f7-11e6-91a5-1fc490c5cf69","lynn.huber@gmx.de","lynnhuber115"
"7feb4860-a8e2-11e6-8597-f9ef43490d96","Wien Modern","private","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-12-14,"Jammin Java","{ 'markt' }","{ ‘Preis’ : ‘200€’ }","Lennard","Werner","d208faa0-a4f7-11e6-91a5-1fc490c5cf69","lennard.werner@comundo.at","lennardwerner166"
"7feb4861-a8e2-11e6-8597-f9ef43490d96","Wien Modern","public","Integer suscipit gravida ligula. Sed sit amet dolor convallis urna malesuada fringilla. Morbi ac augue et dui mattis tristique. Praesent gravida. Phasellus auctor est luctus pede laoreet mollis.",2017-03-21,"Szene Wien","{ 'friends' }","{ ‘Dress Code’ : ‘Semi-Formal’ }","Jacob","Schmitt","d208faa1-a4f7-11e6-91a5-1fc490c5cf69","jacob.schmitt@live.at","jacobschmitt144"
"7feb4862-a8e2-11e6-8597-f9ef43490d96","kein Sonntag ohne Techno","type3","Fusce nec nisl nec nisi porttitor viverra. Sed lacinia velit. Nullam porttitor. Nam nec dolor. Sed blandit. Nulla facilisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-04-27,"Palais Auersperg","{ 'concert' }","{ ‘Preis’ : ‘15€’ }","Robin","Weber","d208faa2-a4f7-11e6-91a5-1fc490c5cf69","robin.weber@example.at","robinweber113"
"7feb4863-a8e2-11e6-8597-f9ef43490d96","Wien bewegt","private","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-04-20,"Imperial Riding School Renaissance Vienna Hotel","{ 'live music' }","{ ‘Dress Code’ : ‘Semi-Formal’ }","Robin","Schmidt","d208faa3-a4f7-11e6-91a5-1fc490c5cf69","robin.schmidt@gmail.com","robinschmidt68"
"7feb4864-a8e2-11e6-8597-f9ef43490d96","Orpheus","type3","Integer suscipit gravida ligula. Sed sit amet dolor convallis urna malesuada fringilla. Morbi ac augue et dui mattis tristique. Praesent gravida. Phasellus auctor est luctus pede laoreet mollis.",2017-12-14,"Ronacher","{ 'food' }","{ ‘Haarfarbe’ : ‘grün’ }","Tom","Reichl","d208faa4-a4f7-11e6-91a5-1fc490c5cf69","tom.reichl@mail.com","tomreichl137"
"7feb4865-a8e2-11e6-8597-f9ef43490d96","Vanity","public","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-09-24,"Porgy & Bess","{ 'house' }","{ ‘Alkohol’ : ‘false’ }","Jacob","Weiß","d208faa5-a4f7-11e6-91a5-1fc490c5cf69","jacob.weiß@apple.com","jacobweiß66"
"7feb4866-a8e2-11e6-8597-f9ef43490d96","Der Zauberer von Oz","public","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-08-20,"Imperial Riding School Renaissance Vienna Hotel","{ 'chill' }","{ ‘smartphone’ : ‘true’ }","Adrian","Emerich","d208faa6-a4f7-11e6-91a5-1fc490c5cf69","adrian.emerich@gmail.com","adrianemerich137"
"7feb4867-a8e2-11e6-8597-f9ef43490d96","5 Uhr Tee","public","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-07-23,"Palais Pallavicini","{ 'green' }","{ ‘Dress Code’ : ‘Business Standard’ }","Kilian","Schneider","d208faa7-a4f7-11e6-91a5-1fc490c5cf69","kilian.schneider@company.com","kilianschneider185"
"7feb4868-a8e2-11e6-8597-f9ef43490d96","Homeparty","public","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-07-22,"Passage","{ 'vinatge' }","{ ‘Alter’ : ‘30+’ }","Klaus","Werner","d208faa8-a4f7-11e6-91a5-1fc490c5cf69","klaus.werner@hotmail.at","klauswerner210"
"7feb4869-a8e2-11e6-8597-f9ef43490d96","Security Night","public","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-06-11,"Grelle Forelle","{ 'games' }","{ ‘Dress Code’ : ‘Business Casual’ }","Romana","Fischer","d208faa9-a4f7-11e6-91a5-1fc490c5cf69","romana.fischer@outlook.com","romanafischer103"
"7feb486a-a8e2-11e6-8597-f9ef43490d96","Der Zauberer von Oz","public","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-10-27,"Imperial Riding School Renaissance Vienna Hotel","{ 'alcohol' }","{ ‘Haarfarbe’ : ‘blond’ }","Alyssa","Wolf","d208faaa-a4f7-11e6-91a5-1fc490c5cf69","alyssa.wolf@live.at","alyssawolf62"
"7feb486b-a8e2-11e6-8597-f9ef43490d96","Luft und Liebe","public","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-10-27,"Fluc","{ 'house' }","{ ‘Haarfarbe’ : ‘schwarz’ }","Frederick","Herrmann","d208faab-a4f7-11e6-91a5-1fc490c5cf69","frederick.herrmann@comundo.at","frederickherrmann54"
"7feb486c-a8e2-11e6-8597-f9ef43490d96","Ensemble Resonanz","public","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-12-11,"Wiener Konzerthaus","{ 'games' }","{ ‘Alter’ : ‘40+’ }","Tom","Schmidt","d208faac-a4f7-11e6-91a5-1fc490c5cf69","tom.schmidt@example.com","tomschmidt228"
"7feb486d-a8e2-11e6-8597-f9ef43490d96","Sonderausstellung","private","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2016-12-18,"Fluc","{ 'friends' }","{ ‘Dress Code’ : ‘Business Standard’ }","Alena","Schreiber","d208faad-a4f7-11e6-91a5-1fc490c5cf69","alena.schreiber@comundo.com","alenaschreiber11"
"7feb486e-a8e2-11e6-8597-f9ef43490d96","Voice Mania","type3","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-09-19,"Hofburg","{ 'prom' }","{ ‘Alter’ : ‘30+’ }","Gloria","Maier","d208faae-a4f7-11e6-91a5-1fc490c5cf69","gloria.maier@hotmail.com","gloriamaier127"
"7feb486f-a8e2-11e6-8597-f9ef43490d96","Turbo","private","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-02-20,"Haus der Musik","{ 'games' }","{ ‘Alter’ : ‘21+’ }","Christoph","Bauer","d208faaf-a4f7-11e6-91a5-1fc490c5cf69","christoph.bauer@icloud.com","christophbauer179"
"7feb6f70-a8e2-11e6-8597-f9ef43490d96","Die Zauberflöte","type3","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2017-09-23,"Melia Vienna","{ 'friends' }","{ ‘Alter’ : ‘30+’ }","Matthias","Stadtler","d208fab0-a4f7-11e6-91a5-1fc490c5cf69","matthias.stadtler@mail.com","matthiasstadtler143"
"7feb6f71-a8e2-11e6-8597-f9ef43490d96","Schulgeschichten aus Wien","private","Integer suscipit gravida ligula. Sed sit amet dolor convallis urna malesuada fringilla. Morbi ac augue et dui mattis tristique. Praesent gravida. Phasellus auctor est luctus pede laoreet mollis.",2017-08-16,"Pony Club","{ 'balloons' }","{ ‘smartphone’ : ‘true’ }","Gloria","Schmitt","d208fab1-a4f7-11e6-91a5-1fc490c5cf69","gloria.schmitt@company.com","gloriaschmitt217"
"7feb6f72-a8e2-11e6-8597-f9ef43490d96","Turbo","type3","Nunc tellus elit, dictum lobortis, venenatis a, blandit nec, ligula. Pellentesque eu ipsum a erat lobortis faucibus.",2016-11-11,"Klub Ost","{ 'house' }","{ ‘Preis’ : ‘200€’ }","Gabriel","Schneider","d208fab2-a4f7-11e6-91a5-1fc490c5cf69","gabriel.schneider@comundo.com","gabrielschneider37"
"7feb6f73-a8e2-11e6-8597-f9ef43490d96","London Philharmonic Orchestra","type3","Integer suscipit gravida ligula. Sed sit amet dolor convallis urna malesuada fringilla. Morbi ac augue et dui mattis tristique. Praesent gravida. Phasellus auctor est luctus pede laoreet mollis.",2017-07-05,"Fluc","{ 'design' }","{ ‘Preis’ : ‘100€’ }","Robin","Becker","d208fab3-a4f7-11e6-91a5-1fc490c5cf69","robin.becker@company.eu","robinbecker229"
"7feb6f74-a8e2-11e6-8597-f9ef43490d96","Musical","type3","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-08-11,"Palais Pallavicini","{ 'games' }","{ ‘Games’ : ‘true’ }","Frederick","Marx","d208fab4-a4f7-11e6-91a5-1fc490c5cf69","frederick.marx@example.eu","frederickmarx204"
"7feb6f75-a8e2-11e6-8597-f9ef43490d96","Der Zauberer von Oz","private","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2017-11-20,"MQ","{ 'alcohol' }","{ ‘Preis’ : ‘50€’ }","Anya","Schmid","d208fab5-a4f7-11e6-91a5-1fc490c5cf69","anya.schmid@comundo.at","anyaschmid152"
"7feb6f76-a8e2-11e6-8597-f9ef43490d96","The Last Five Years","type3","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-07-15,"Dachboden","{ 'theatre' }","{ ‘Alter’ : ‘18+’ }","Jacob","Marx","d208fab6-a4f7-11e6-91a5-1fc490c5cf69","jacob.marx@spengergasse.at","jacobmarx29"
"7feb6f77-a8e2-11e6-8597-f9ef43490d96","Homeparty","private","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-03-18,"Marx Halle","{ 'food' }","{ ‘Alter’ : ‘40+’ }","Matthias","Wolf","d208fab7-a4f7-11e6-91a5-1fc490c5cf69","matthias.wolf@comundo.com","matthiaswolf107"
"7feb6f78-a8e2-11e6-8597-f9ef43490d96","Orpheus","public","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2016-11-08,"MQ","{ 'party' }","{ ‘Mindestgröße’ : ‘150cm’ }","Mia","Huber","d208fab8-a4f7-11e6-91a5-1fc490c5cf69","mia.huber@hotmail.com","miahuber122"
"7feb6f79-a8e2-11e6-8597-f9ef43490d96","Open Studio","type3","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-08-25,"Palais Pallavicini","{ 'markt' }","{ ‘Preis’ : ‘100€’ }","Anna","Herrmann","d208fab9-a4f7-11e6-91a5-1fc490c5cf69","anna.herrmann@microsoft.com","annaherrmann180"
"7feb6f7a-a8e2-11e6-8597-f9ef43490d96","Blutspendeaktion","public","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2017-12-20,"Haus der Musik","{ 'food' }","{ ‘Auto’ : ‘true’ }","Mia","Bauer","d208faba-a4f7-11e6-91a5-1fc490c5cf69","mia.bauer@outlook.com","miabauer101"
"7feb6f7b-a8e2-11e6-8597-f9ef43490d96","Evita","private","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-12-21,"Colosseum XXI","{ 'gettogether' }","{ ‘Dress Code’ : ‘Business Standard’ }","Tom","Maier","d208fabb-a4f7-11e6-91a5-1fc490c5cf69","tom.maier@spengergasse.at","tommaier218"
"7feb6f7c-a8e2-11e6-8597-f9ef43490d96","Evita","public","Suspendisse potenti. Mauris iaculis. Nunc scelerisque, turpis et venenatis aliquam, urna libero pellentesque ipsum, sed pharetra massa nisi at lectus.",2017-02-01,"25hours Hotel","{ 'chill' }","{ ‘smartphone’ : ‘true’ }","Frederick","Meier","d208fabc-a4f7-11e6-91a5-1fc490c5cf69","frederick.meier@gmx.at","frederickmeier194"
"7feb6f7d-a8e2-11e6-8597-f9ef43490d96","Ausstellung","private","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-12-10,"Palais Pallavicini","{ 'weinverkostung' }","{ ‘Dress Code’ : ‘Casual’ }","Max","Hartmann","d208fabd-a4f7-11e6-91a5-1fc490c5cf69","max.hartmann@icloud.com","maxhartmann226"
"7feb6f7e-a8e2-11e6-8597-f9ef43490d96","Blutspendeaktion","private","Fusce nec nisl nec nisi porttitor viverra. Sed lacinia velit. Nullam porttitor. Nam nec dolor. Sed blandit. Nulla facilisi. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2016-12-05,"Colosseum XXI","{ 'alcohol' }","{ ‘Auto’ : ‘true’ }","Cristina","Lange","d208fabe-a4f7-11e6-91a5-1fc490c5cf69","cristina.lange@google.com","cristinalange188"
"7feb6f7f-a8e2-11e6-8597-f9ef43490d96","Gutes Wissen – Guter Geschmack","private","Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Ut sit amet dui. Ut tempus interdum lacus.",2017-02-13,"Passage","{ 'festival' }","{ ‘Haarfarbe’ : ‘schwarz’ }","Alexander","Wolf","d208fabf-a4f7-11e6-91a5-1fc490c5cf69","alexander.wolf@comundo.com","alexanderwolf81"
"7feb6f80-a8e2-11e6-8597-f9ef43490d96","My Fair Lady","private","Integer suscipit gravida ligula. Sed sit amet dolor convallis urna malesuada fringilla. Morbi ac augue et dui mattis tristique. Praesent gravida. Phasellus auctor est luctus pede laoreet mollis.",2017-02-03,"Vienna Marriott Hotel","{ 'balloons' }","{ ‘Mindestgröße’ : ‘150cm’ }","Matthias","Schulz","d208fac0-a4f7-11e6-91a5-1fc490c5cf69","matthias.schulz@mail.eu","matthiasschulz126"
"7feb6f81-a8e2-11e6-8597-f9ef43490d96","Flex 20 Year Anniversary","public","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-12-18,"25hours Hotel","{ 'food' }","{ ‘Haarfarbe’ : ‘blau’ }","Jacob","Schmitt","d208fac1-a4f7-11e6-91a5-1fc490c5cf69","jacob.schmitt@mail.eu","jacobschmitt166"
"7feb6f82-a8e2-11e6-8597-f9ef43490d96","Poetiken des Materials","private","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-09-11,"Hofburg","{ 'games' }","{ ‘Dress Code’ : ‘Semi-Formal’ }","Johannes","Braun","d208fac2-a4f7-11e6-91a5-1fc490c5cf69","johannes.braun@example.at","johannesbraun61"
"7feb6f83-a8e2-11e6-8597-f9ef43490d96","Monet bis Picasso. The Batliner Collection","private","Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2017-07-16,"Wiener Musikverein","{ 'games' }","{ ‘Haarfarbe’ : ‘blond’ }","Frederick","Zimmermann","d208fac3-a4f7-11e6-91a5-1fc490c5cf69","frederick.zimmermann@gmx.de","frederickzimmermann191"
"7feb6f84-a8e2-11e6-8597-f9ef43490d96","Business Frühstück","type3","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2016-11-20,"Louisiana Blues Pub","{ 'house' }","{ ‘Games’ : ‘true’ }","Tom","Mayer","d208fac4-a4f7-11e6-91a5-1fc490c5cf69","tom.mayer@example.com","tommayer167"
"7feb6f85-a8e2-11e6-8597-f9ef43490d96","Konstruktion_Reflexion","private","Aenean leo neque, fermentum sed, vehicula nec, luctus vitae, nisl. Donec eleifend ligula vel diam.",2017-02-16,"Melia Vienna","{ 'concert' }","{ ‘Preis’ : ‘150€’ }","John","Hartmann","d208fac5-a4f7-11e6-91a5-1fc490c5cf69","john.hartmann@comundo.com","johnhartmann147"
"7feb6f86-a8e2-11e6-8597-f9ef43490d96","Am Ende","public","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-03-31,"Ronacher","{ 'dance' }","{ ‘Dress Code’ : ‘Semi-Formal’ }","Tom","Hoffmann","d208fac6-a4f7-11e6-91a5-1fc490c5cf69","tom.hoffmann@icloud.com","tomhoffmann191"
"7feb6f87-a8e2-11e6-8597-f9ef43490d96","Hoffmanns Erzählungen","type3","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-10-16,"Szene Wien","{ 'ball' }","{ ‘Mindestgröße’ : ‘150cm’ }","Anya","Schmidt","d208fac7-a4f7-11e6-91a5-1fc490c5cf69","anya.schmidt@aon.at","anyaschmidt197"
"7feb9680-a8e2-11e6-8597-f9ef43490d96","Voice Mania","public","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-05-15,"Palais Pallavicini","{ 'chill' }","{ ‘Alkohol’ : ‘false’ }","Stefanie","Mayer","d208fac8-a4f7-11e6-91a5-1fc490c5cf69","stefanie.mayer@comundo.at","stefaniemayer219"
"7feb9681-a8e2-11e6-8597-f9ef43490d96","Adventkonzert","private","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2017-06-29,"Davis Live Music Club","{ 'festival' }","{ ‘Dress Code’ : ‘Formal’ }","Stefanie","Werner","d208fac9-a4f7-11e6-91a5-1fc490c5cf69","stefanie.werner@google.com","stefaniewerner147"
"7feb9682-a8e2-11e6-8597-f9ef43490d96","Architektur Zeitreisen","private","Quisque molestie massa eu odio. Vestibulum venenatis. Phasellus id odio. Duis magna. Curabitur et magna. Suspendisse elementum tempor lectus. Pellentesque id nunc quis odio placerat mattis. Praesent a tortor.",2017-08-30,"Ronacher","{ 'festival' }","{ ‘Alter’ : ‘40+’ }","Daniel","Meier","d208faca-a4f7-11e6-91a5-1fc490c5cf69","daniel.meier@company.eu","danielmeier97"
"7feb9683-a8e2-11e6-8597-f9ef43490d96","Turbo","public","Nulla facilisi. Sed luctus, quam eu volutpat congue, mauris leo sodales augue, sit amet vehicula nisl lorem a lectus.",2016-12-29,"Nightfly's American Bar","{ 'house' }","{ ‘Dress Code’ : ‘Formal’ }","Klaus","Klein","d208facb-a4f7-11e6-91a5-1fc490c5cf69","klaus.klein@gmx.de","klausklein160"
"7feb9684-a8e2-11e6-8597-f9ef43490d96","Vienna Jazzfloor","private","Vivamus metus neque, malesuada sed, feugiat sit amet, bibendum vel, augue. Vivamus augue. Integer vitae mauris quis urna accumsan congue. Suspendisse potenti. Donec in erat. Sed non velit. Duis erat.",2017-07-08,"Ronacher","{ 'alcohol' }","{ ‘Dress Code’ : ‘Business Casual’ }","Leonas","Maier","d208facc-a4f7-11e6-91a5-1fc490c5cf69","leonas.maier@gmx.at","leonasmaier193"
